Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Gift Card,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / Condition,Google Shopping / Custom Product,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Weight Unit,Variant Tax Code,Cost per item,Status
9120001511,Dometic HUB VW Connection Tunnel,<div>Turn your Dometic HUB into a drive-away awning with the VW connection tunnel. Simply zip-on and connect to your campervan for a hassle-free set-up.</div>,Dometic,,Default,"Default, Car Camping, Camping Tents, Shelters",TRUE,Title,Default Title,9120001511,3100,shopify,0,continue,manual,2384.35,TRUE,FALSE,9120001511,https://www.dometic.com/media/catalog/product/7/7/77598-primary_4_1.png?format=jpg,1,FALSE,,,,new,,,g,,2384.35,active
9120001511,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/1/1/113236-hover_4.jpg?format=jpg,2,,,,,,,,,,,
9120001511,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/1/1/113236_10_1.jpg?format=jpg,3,,,,,,,,,,,
9120001512,Dometic HUB Weight Bag,"<div>Pitch your Dometic HUB on hard, stony or sandy ground with ease. Fill the Weight Bag with stones or sand and secure to your inflatable shelter, allowing you to securely pitch your HUB wherever you are — even when using pegs is not an option.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Shelters",TRUE,Title,Default Title,9120001512,600,shopify,0,continue,manual,354.78,TRUE,FALSE,9120001512,https://www.dometic.com/media/catalog/product/7/8/78054-primary_4_1.png?format=jpg,1,FALSE,,,,new,,,g,,354.78,active
9120001968,Dometic HUB 2 REDUX,"<div>Featuring innovative design and function, the Dometic HUB 2 REDUX ensures fast, personal shelter whenever you need it. Our all-new lightweight polyester, woven with recycled plastic bottle yarn, is high-performance and extremely reliable. The HUB 2 utilizes smart weight saving features and patented AIR Frame technology, forming a compact pack size perfect for carrying on your back or throwing in the trunk of your car, ready for your next adventure.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Inflatable Tents, Shelters, Sale",TRUE,Title,Default Title,9120001968,10000,shopify,0,continue,manual,10426.09,TRUE,FALSE,9120001968,https://www.dometic.com/media/catalog/product/8/4/84415-primary_4.png?format=jpg,1,FALSE,,,,new,,,g,,10426.09,active
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/8/8/88444_4.png?format=jpg,2,,,,,,,,,,,
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/2/92892_4.png?format=jpg,3,,,,,,,,,,,
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/5/95508_4.jpg?format=jpg,4,,,,,,,,,,,
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/5/95509-hover_4.jpg?format=jpg,5,,,,,,,,,,,
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/5/95680_4.jpg?format=jpg,6,,,,,,,,,,,
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/8/98953_4.jpg?format=jpg,7,,,,,,,,,,,
9120001968,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/9/99106_4.png?format=jpg,8,,,,,,,,,,,
9120001970,Dometic K9 80 AIR,"<div>Perfect on the go, for day trips in the car and vacations in the outdoors. The Dometic K9 80 AIR features lightweight, durable fabric - guaranteeing comfort and safety for your dog. This versatile kennel is easy to clean, packs down compactly and features a carry handle for easy transportation, ensuring you can bring the family dog with you on every adventure.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Dog Tents",TRUE,Title,Default Title,9120001970,5500,shopify,0,continue,manual,5346.96,TRUE,FALSE,9120001970,https://www.dometic.com/media/catalog/product/8/4/84407-primary_4.png?format=jpg,1,FALSE,,,,new,,,g,,5346.96,active
9120001970,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/1/91507_4.jpg?format=jpg,2,,,,,,,,,,,
9120001970,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/1/91987_4.jpg?format=jpg,3,,,,,,,,,,,
9120001970,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/1/91988-hover_4.jpg?format=jpg,4,,,,,,,,,,,
9120001970,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/1/91988_4.jpg?format=jpg,5,,,,,,,,,,,
9120001970,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/2/92891_4.png?format=jpg,6,,,,,,,,,,,
9120001971,Dometic HUB 2 REDUX Mesh Panel,"<div>Make the Dometic HUB 2 yours with great customization options. Add comfort to your outdoor experience, keep unwanted insects away and add shade with the Dometic Mesh Panel.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Shelters",TRUE,Title,Default Title,9120001971,1100,shopify,0,continue,manual,1534.78,TRUE,FALSE,9120001971,https://www.dometic.com/media/catalog/product/8/4/84590-primary_4.png?format=jpg,1,FALSE,,,,new,,,g,,1534.78,active
9120001972,Dometic HUB Connector Strip,<div>Seamlessly connect multiple Dometic HUB's together with the Dometic HUB Connection Strip. Simply zip on and multiply your liveable pitch space in up to four directions - perfect for hosting friends and family.</div>,Dometic,,Default,"Default, Car Camping, Camping Tents, Shelters",TRUE,Title,Default Title,9120001972,800,shopify,0,continue,manual,793.91,TRUE,FALSE,9120001972,https://www.dometic.com/media/catalog/product/8/6/86137-primary_4_1.png?format=jpg,1,FALSE,,,,new,,,g,,793.91,active
9120001983,Dometic HUB 2 REDUX Inner Tent,"<div>Easy to install, simply toggle-in this inner tent and create a private sleeping space in your Dometic HUB 2. Made from breathable cotton fabric and with a zipped door for added comfort and convenience.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Shelters, Sale",TRUE,Title,Default Title,9120001983,2000,shopify,0,continue,manual,2940.87,TRUE,FALSE,9120001983,https://www.dometic.com/media/catalog/product/8/4/84589-primary_4.png?format=jpg,1,FALSE,,,,new,,,g,,2940.87,active
9120002032,Dometic Auto AIR REDUX,"<div>The Dometic Auto AIR Redux is designed for use with passenger cars, SUVs and MPVs, fitting conveniently to the rear of your vehicle. This versatile, drive-away awning features lightweight polyester, woven with recycled plastic bottle yarn, and a rigid Single-Point inflatable AIR Frame.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Tailgate Tents, RV & Van, Awnings, Inflatable Tent Rooms",TRUE,Title,Default Title,9120002032,24000,shopify,0,continue,manual,20091.30,TRUE,FALSE,9120002032,https://www.dometic.com/media/catalog/product/8/4/84417-primary_4.png?format=jpg,1,FALSE,,,,new,,,g,,20091.30,active
9120002032,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/8/8/88557_4.png?format=jpg,2,,,,,,,,,,,
9120002032,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/9/2/92893_4.png?format=jpg,3,,,,,,,,,,,
9120002033,Dometic Auto AIR Inner tent,"<div>Easy to install, simply toggle-in this inner tent and create a private sleeping space in your awning. Made from breathable polyester fabric and with a zipped door for guest comfort and convenience.</div>",Dometic,,Default,"Default, RV & Van, Awnings, Accessories, Canopies, Vestibules & Annexes",TRUE,Title,Default Title,9120002033,2000,shopify,0,continue,manual,3146.96,TRUE,FALSE,9120002033,https://www.dometic.com/media/catalog/product/8/6/86135-primary_1.png?format=jpg,1,FALSE,,,,new,,,g,,3146.96,active
9120002033,,,,,,,,,,,,,,,,,,,,https://www.dometic.com/media/catalog/product/1/7/177894-primary_1.png?format=jpg,2,,,,,,,,,,,
9120002060,Dometic HUB Continental Carpet,"<div>Add extra comfort to your Dometic HUB with this breathable awning carpet. Hardwearing, UV stabilized and easy to clean, it creates a homely feel wherever you pitch up.</div>",Dometic,,Default,"Default, Car Camping, Camping Tents, Shelters",TRUE,Title,Default Title,9120002060,2300,shopify,0,continue,manual,939.13,TRUE,FALSE,9120002060,https://www.dometic.com/media/catalog/product/7/7/77685-primary_4.png?format=jpg,1,FALSE,,,,new,,,g,,939.13,active
